news_name,label
Fake Name,0
Israel-Hamas war,0
Bears outlast Vikings,0
Elon Musk,0
Frank Reich,0
Word of the year,0
Fake news,0
Authorities warn that fake HIV drugs are found in Kenya despite a crackdown on counterfeits,0
A look inside the Georgia GOP ‘fake elector’ meeting,0
Borussia Dortmund fans throw fake money to protest UEFA’s planned Champions League reforms,0
"The internet is littered with fake reviews. Amazon, Glassdoor and others are trying to fight back",0
Families might have received fake ashes from funeral home,0
"Nevada’s attorney general is investigating fake electors in 2020 for Trump, AP source says",0
Polish government warns of disinformation after fake messages are sent out before election,0
"Airbnb says it’s cracking down on fake listings and has removed 59,000 of them this year",0
French officials suspect pranksters in a rash of fake bomb threats and warn of heavy punishments,0
Grievance filed by NFL says players’ union leaders advised running backs to fake injuries,0
Family sues Colorado funeral home where 189 decaying bodies were found over alleged fake ashes,0
"A man accused in a child rape case was arrested weeks after he faked his own death, sheriff says",0
"After 189 bodies were found in Colorado funeral home, evidence suggests families received fake ashes",0
Michigan fake elector defendants want case dropped due to attorney general’s comments,0
4 members of a Florida family are sentenced for selling a fake COVID-19 cure through online church,0
Scottish authorities sign an extradition order for a US fugitive who is accused of faking his death,0
Defendant in Michigan fake elector case seeks dismissal of charges over attorney general’s comments,0
Michigan charges 16 fake electors for Donald Trump,0
Wisconsin judge allows civil case against fake Trump electors to proceed,0
More Michigan Republicans accused of being fake electors for Trump plead not guilty,0
Wisconsin judge orders the release of records sought from fake Trump elector,0
"How the Trump fake electors scheme became a ‘corrupt plan,’ according to the indictment",0
Michigan charges 16 fake electors with various crimes,0
"Lawyers say 3 Republicans who falsely said Trump won Georgia were ‘contingent’ electors, not fake",0
Experts warn against wave of fake news ahead of Mexico’s 2024 presidential election,0
Michigan charges 16 fake electors for Donald Trump with election law and forgery felonies,0
"Bella Thorne on ‘The Fighter’ adaptation, fake tattoos and more",0
3 former GOP operatives to pay $50K for roles in a fake charity tied to E. Palestine derailment,0
George Santos says ex-fundraiser caught using a fake name tried a new tactic: spelling it backwards,0
"American fugitive who faked his death can be extradited to US to face rape charge, UK judge says",0
Israel-Hamas war,0
Frank Reich fired,0
Musk visits Israel,0
Bears outlast Vikings,0
Rosalynn Carter,0
4 members of a Florida family are convicted of selling a fake COVID-19 cure through online church,0
Michigan clerk stripped of election duties after being charged for acting as fake elector in 2020,0
Florida family accused of selling fake COVID-19 cure through online church goes on trial in Miami,0
Arizona woman who faked being a nurse practitioner during pandemic gets 5-year prison term,0
"Former CEO at center of fake Basquiats scandal countersues museum, claiming he is being scapegoated",0
"No, video doesn’t show a Palestinian ‘crisis actor’ admitting to his mother his injuries are fake",0
Michigan Republican charged in false elector plot agrees to cooperation deal,0
FACT FOCUS: Fake image of Pentagon explosion briefly sends jitters through stock market,0
"ChatGPT user in China detained for creating and spreading fake news, police say",0
At least 8 fake electors have immunity in Ga. election probe,0
Schumacher’s family plans legal action over fake interview,0
Fake Craigslist ad costs New Hampshire man right to vote,0
"Füllkrug, Brandt steer Dortmund to back-to-back wins over Newcastle in Champions League",0
Iowa woman who made fake cancer claims on social media must pay restitution but stays out of prison,0
Former Alabama lawmaker pleads guilty to voter fraud charge for using fake address to run for office,0
"FBI says man had guns, ammo, fake marshal ID in baggage",0
EU beefs up disinformation code amid Russia fake news fears,0
Man who faked Native American heritage to sell his art in Seattle sentenced to probation,0
Police: Inmate who escaped by faking death back in S. Africa,0
"Ex-treasurer for Rep. George Santos pleads guilty to conspiracy, tells of bogus loan and fake donors",0
Claims guards aided killer fake death in S. Africa jailbreak,0
Musk’s X tests $1 fee for new users in the Philippines and New Zealand in bid to target spam,0
Nurse faces legal action for ‘faking’ Spanish kids’ vaccines,0
Michigan judge rules defendants accused in false elector scheme will not have charges dropped,0
FACT FOCUS: Fake Trump mug shots spread in lieu of real one,0
Criminal charges lodged against Hartford ex-officer accused of lying to get warrant and faking stats,0
Risky plays expanding in popularity with varying degrees of success among ACC programs,0
"Fake FEMA news conference took place in 2007, not during the recent Maui wildfires",0
Footage of a fake alien invasion is being misrepresented as a lightning strike before Morocco quake,0
Trump arrested? Putin jailed? Fake AI images spread online,0
Israel-Hamas war,0
Frank Reich fired,0
Musk visits Israel,0
Bears outlast Vikings,0
